Titulo,Fecha,Referencia,Enlace
El dólar que desaparece,The disappearing dollar. How long can it remain the world's most important reserve currency? Dec 2nd 2004 |. Share. THE dollar has been the leading,,https://www.economist.com/leaders/2004/12/02/the-disappearing-dollar
¿Puede la eliminación de carbono convertirse en un negocio de billones de dólares?,"May 21, 2023","¿Puede la eliminación de carbono convertirse en un negocio de billones de dólares?Posiblemente, y no antes del tiempo.Pala durante una ceremonia de inauguración en el ...",https://www.economist.com/business/2023/05/21/can-carbon-removal-become-a-trillion-dollar-business
¿Podrían los sistemas de pagos digitales ayudar a desbastar el dólar?,"May 15, 2023",¿Podría la financiación digital reducir la dependencia del mundo del dólar?|Reporte especial.,https://www.economist.com/special-report/2023/05/15/could-digital-payments-systems-help-unseat-the-dollar
"El poderoso dólar: la moneda de Estados Unidos, el problema del mundo |3 de diciembre ...","Dec 3, 2016","The Mighty Dollar: America's Moneda, el problema del mundo: edición semanal de The Economist para el 3 de diciembre de 2016. Has visto las noticias, ...",https://www.economist.com/weeklyedition/2016-12-03
"La mano de obra en la prisión es una industria de miles de millones de dólares, con rendimientos inciertos para ...","Mar 16, 2017","La mano de obra en prisión es una industria de miles de millones de dólares, con rendimientos inciertos para los reclusos.En Idaho, los prisioneros asaron papas.En Kentucky, venden ...",https://www.economist.com/united-states/2017/03/16/prison-labour-is-a-billion-dollar-industry-with-uncertain-returns-for-inmates
El poder y los límites del dólar americano,"Apr 27, 2023","De vez en cuando, un apetito surge una moneda de reserva alternativa al dólar, y un mercado aumenta en las predicciones de los greenback ...",https://www.economist.com/leaders/2023/04/27/the-power-and-the-limits-of-the-american-dollar
La paridad Dollar-Euro puede estar justificada.Pero el yen parece barato como chips,"Jul 21, 2022",Los tipos de cambio para los dólares de los EE. UU. Y las monedas Euro ... pero comprar estadounidense significa ponerse una apuesta en el tipo de cambio euro-dólar.,https://www.economist.com/finance-and-economics/2022/07/21/dollar-euro-parity-may-be-justified-but-the-yen-looks-cheap-as-chips
El uso agresivo de las sanciones en Estados Unidos pone en peligro el reinado del dólar,"Jan 18, 2020","El dólar es la moneda preferida de los bancos centrales y los mercados de capitales, que representa cerca de dos tercios de la emisión de valores globales y ...",https://www.economist.com/briefing/2020/01/18/americas-aggressive-use-of-sanctions-endangers-the-dollars-reign
El dólar azul,"Jun 2, 2012","En realidad, la razón es que el gobierno de Cristina Fernández de Kirchner está comenzando a quedarse sin dólares.Dado que la tasa de inflación es ...",https://www.economist.com/the-americas/2012/06/02/the-blue-dollar
"La historia detrás de ""ballena mil millones de dólares""","Sep 19, 2019","""Billion Dollar Whale"" se centra en el papel de Jho Low (en la foto), un playboy de Malasia con cara de bebé que alegan los fiscales estadounidenses que era el ...",https://www.economist.com/books-and-arts/2019/09/19/the-story-behind-billion-dollar-whale
Niños de billones de dólares,Trillion-dollar kids. Children exert a surprising influence over the purchase of grown-up goods. Nov 30th 2006 | new york.,"""Billion Dollar Whale"" se centra en el papel de Jho Low (en la foto), un playboy de Malasia con cara de bebé que alegan los fiscales estadounidenses que era el ...",https://www.economist.com/business/2006/11/30/trillion-dollar-kids
El dólar desaparecido |4 de diciembre de 2004 |El economista,"Dec 4, 2004","The desapareciendo dólar - edición semanal de The Economist para el 4 de diciembre de 2004. Has visto las noticias, ahora descubre la historia.",https://www.economist.com/weeklyedition/2004-12-04
El dominio del dólar es tan seguro como el liderazgo global estadounidense,"Aug 6, 2020",Ha sido un verano feo para Estados Unidos y el dólar.El Greenback cayó en más del 4% contra una canasta de otras monedas importantes en julio ...,https://www.economist.com/finance-and-economics/2020/08/06/dollar-dominance-is-as-secure-as-american-global-leadership
"Un dólar, un voto","May 22, 2014","Un dólar, un voto.Cuando se trata de establecer la política, las opiniones de las empresas y los ricos parecen contar por más.22 de mayo de 2014.",https://www.economist.com/finance-and-economics/2014/05/22/one-dollar-one-vote
Nuestro índice Big Mac de monedas globales refleja la fortaleza del dólar,"Jan 14, 2017",Las monedas del mercado emergente y el euro se parecen infravalorados frente al dólar |Finanzas y economía.,https://www.economist.com/finance-and-economics/2017/01/14/our-big-mac-index-of-global-currencies-reflects-the-dollars-strength
La apuesta de billones de dólares de Nvidia,"Jun 8, 2023","La apuesta de billones de dólares de Nvidia · Nuestro podcast en los mercados, la economía y el negocio.Esta semana, cómo el fabricante de chips se estableció como el proveedor ...",https://www.economist.com/podcasts/2023/06/08/nvidias-trillion-dollar-bet
El dólar podría traer a los inversores una desagradable sorpresa,"Jan 12, 2023","Nuestra moneda, su problema.Así es como John Connally, secretario del Tesoro de Estados Unidos, describió el dólar a los líderes europeos en 1971.",https://www.economist.com/finance-and-economics/2023/01/12/the-dollar-could-bring-investors-a-nasty-surprise
¿Por qué se ha debilitado el dólar durante la pandemia?,"Feb 4, 2021",Cualquier explicación para la caída del dólar debe comenzar con la Reserva Federal.Cuando la pandemia Covid-19 provocó una lucha por dólares en marzo pasado ...,https://www.economist.com/the-economist-explains/2021/02/04/why-has-the-dollar-weakened-during-the-pandemic
El dólar es tan fuerte como siempre.¿No es así?,"Sep 8, 2022",La moneda más importante del mundo está en racha.El dólar ha subido alrededor del 20% durante el año pasado contra una canasta de Global ...,https://www.economist.com/leaders/2022/09/08/the-dollar-is-as-strong-as-ever-isnt-it
La desaparición del dólar,"Nov 23, 2004","Aunque cargar con aún más dólares podría evitar que el dólar caiga por un tiempo, aumentaría el riesgo de aún más grande ...",https://www.economist.com/news/2004/11/23/the-dollars-demise
Bolivia está al borde de una crisis económica,"Apr 18, 2023",La escasez de dólares es en parte el resultado de mercados financieros globales más estrictos.Cuando la Reserva Federal comenzó a aumentar las tasas de interés el año pasado ...,https://www.economist.com/the-americas/2023/04/18/bolivia-is-on-the-brink-of-an-economic-crisis
