Precio,Lugar,Enlace
"USD750,000","Los Rosales, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-d7f6-3fe40920d3be-e9c394a9-8bef-4b13
"USD560,000","Ur. Casuarinas Sur, Santiago de Surco, Lima",https://www.properati.com.pe/detalle/14032-32-5348-5f529e01db4d-e946fa75-a559-43e8
"USD630,000","La Encantada De Villa, Provincia de Lima, Gobierno Regional de Lima",https://www.properati.com.pe/detalle/14032-32-3637-534a8607857f-e1a2f61b-8dc1-4618
"USD320,000","A.h General Jose de San Martin, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-c653-9f73ed1f4354-c0829117-a5c7-4ee1
"USD640,000","Ur. Jacaranda, San Borja, Lima",https://www.properati.com.pe/detalle/14032-32-84a8-44ce0143a76-ae76846c-97f1-4170
"USD512,000","Ur. Aurora, Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-a476-2760419c7547-9b004e79-b2cc-4829
"USD149,000","Nuevo Chimbote, Santa, Ancash",https://www.properati.com.pe/detalle/14032-32-3a85-1e3ffe3b76e0-89bfbb65-afd5-4f8c
"USD365,000","Ur. Santa Patricia Etapa I, La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-f007-1587436fbe65-891f0b5b-8d37-485e
"S/.415,000","Castilla, Piura",https://www.properati.com.pe/detalle/14032-32-18a2-fb30be3aa841-6f39d440-870a-120e
"USD400,000","Ah. Bocanegra Sector F, Callao",https://www.properati.com.pe/detalle/14032-32-ce5f-66b002acd446-3f216980-92f5-415a
"USD1,300,000","San Isidro, Lima",https://www.properati.com.pe/detalle/14032-32-c858-e714d33b4c94-29b6433f-b268-4727
"USD2,500,000","Ur. Humboldt, Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-2e96-4a06117c3594-263d48ae-976f-4390
"USD1,100,000","Ur. Santa Ines, San Isidro, Lima",https://www.properati.com.pe/detalle/14032-32-60f8-147c0685e41d-24aad2e0-b605-4563
"S/.790,000","Castilla, Piura",https://www.properati.com.pe/detalle/14032-32-7d43-ed83c7cd1d6c-1f1b8b93-9fbb-4e09
"USD400,000","Ur. Juan Xxiii, San Borja, Lima",https://www.properati.com.pe/detalle/14032-32-1de0-a49b0a4a7617-49ab306-a685-4d63
"USD1,750,000","Country Club, Urb Risso, Provincia de Lima",https://www.properati.com.pe/detalle/14032-32-bdef-a876d2a7b64a-2b73c23-a997-4302
"USD210,000","Ur. San Miguelito, San Miguel, Lima",https://www.properati.com.pe/detalle/14032-32-f42a-f4904ff4422-fe8aa36c-8f8d-4cec
"USD149,000","Ur. Las Delicias De Villa, Chorrillos, Lima",https://www.properati.com.pe/detalle/14032-32-5cbd-99632ff875cb-f99b05f8-aa3f-43da
"USD363,000","Chaclacayo, Lima",https://www.properati.com.pe/detalle/14032-32-9813-2e1f9a2b1223-f06c527f-8a56-462f
"USD280,000","Huarochirí, Lima",https://www.properati.com.pe/detalle/14032-32-cc32-a106eec6a716-ef9ee19c-9f17-4e18
"USD980,000","La Molina, Lima",https://www.properati.com.pe/detalle/14032-32-1625-2d8e36a03b9e-ed5a7520-9587-120e
"USD165,000","San Martín de Porres, Lima",https://www.properati.com.pe/detalle/14032-32-728a-e1eac6c25ba8-e7a3554b-a169-4bd6
"USD600,000","Ur. Humboldt, Miraflores, Lima",https://www.properati.com.pe/detalle/14032-32-e9cf-7866ade8a977-e13278f9-a602-4235
"S/.245,000","Lurin, Lima",https://www.properati.com.pe/detalle/14032-32-40-479e37126484-dbbfc926-8f85-4635
"S/.395,000","Castilla, Piura",https://www.properati.com.pe/detalle/14032-32-a88f-db19117fd35f-db7d134f-8ef3-4ac1
