Fechas,Valores
Jun.2021,95.9814390796482
Jul.2021,96.948489573628
Ago.2021,97.9033694822447
Sep.2021,98.2953966184284
Oct.2021,98.8691125131803
Nov.2021,99.2232454403164
Dic.2021,100.0
Ene.2022,100.037268
Feb.2022,100.34884
Mar.2022,101.836672
Abr.2022,102.816232
May.2022,103.211072
Jun.2022,104.439931
Jul.2022,105.422597
Ago.2022,106.125283
Sep.2022,106.679849
Oct.2022,107.050724
Nov.2022,107.604861
Dic.2022,108.459162
Ene.2023,108.704764
Feb.2023,109.024924
Mar.2023,110.391537
Abr.2023,111.005592
May.2023,111.358436
