Fechas,Valores
17.May.23,3.69266666666667
18.May.23,3.70066666666667
19.May.23,3.6875
22.May.23,3.68933333333333
23.May.23,3.69183333333333
24.May.23,3.685
25.May.23,3.6915
26.May.23,3.66966666666667
29.May.23,3.67016666666667
30.May.23,3.67233333333333
31.May.23,3.6775
01.Jun.23,3.68033333333333
02.Jun.23,3.6835
05.Jun.23,3.67616666666667
06.Jun.23,3.68833333333333
07.Jun.23,3.66816666666667
08.Jun.23,3.65416666666667
09.Jun.23,3.64283333333333
12.Jun.23,3.65183333333333
13.Jun.23,3.64333333333333
14.Jun.23,3.64716666666667
15.Jun.23,3.649
16.Jun.23,3.63166666666667
19.Jun.23,3.63216666666667
20.Jun.23,3.6435
21.Jun.23,3.64033333333333
22.Jun.23,3.63466666666667
23.Jun.23,3.6315
26.Jun.23,3.63883333333333
27.Jun.23,3.63566666666667
